Date,Anxiety_Search_Index,Stress_Search_Index,Depression_Search_Index,Mental_Health_General_Search_Index
2021-03-01,68,50,70,36
2021-04-01,63,48,64,34
2021-05-01,65,49,67,42
2021-06-01,59,45,60,34
2021-07-01,61,43,57,33
2021-08-01,64,42,57,32
2021-09-01,64,47,61,37
2021-10-01,65,49,62,45
2021-11-01,64,48,65,38
2021-12-01,57,44,58,35
2022-01-01,65,50,66,37
2022-02-01,68,54,72,42
2022-03-01,67,59,73,45
2022-04-01,66,52,77,46
2022-05-01,61,52,71,45
2022-06-01,60,47,62,39
2022-07-01,59,43,60,35
2022-08-01,60,43,57,33
2022-09-01,61,48,61,41
2022-10-01,61,49,66,50
2022-11-01,57,51,69,41
2022-12-01,56,48,62,35
2023-01-01,67,46,68,40
2023-02-01,65,51,72,44
2023-03-01,65,55,69,43
2023-04-01,62,49,63,40
2023-05-01,58,48,59,46
2023-06-01,57,45,58,40
2023-07-01,57,42,52,35
2023-08-01,57,45,54,35
2023-09-01,56,49,58,41
2023-10-01,60,49,59,51
2023-11-01,58,48,62,42
2023-12-01,52,46,56,35
2024-01-01,59,48,61,40
2024-02-01,59,52,65,46
2024-03-01,58,51,61,45
2024-04-01,59,51,63,47
2024-05-01,56,52,63,47
2024-06-01,59,44,50,40
2024-07-01,62,42,49,38
2024-08-01,60,43,51,39
2024-09-01,60,50,56,46
2024-10-01,61,50,57,51
2024-11-01,59,54,58,45
2024-12-01,56,49,51,38
2025-01-01,57,47,57,44
2025-02-01,62,51,62,50
2025-03-01,77,55,64,48
2025-04-01,69,51,59,48
2025-05-01,60,47,55,51
2025-06-01,61,47,54,50
2025-07-01,64,49,53,47
2025-08-01,73,61,68,70
2025-09-01,78,67,76,87
2025-10-01,74,67,77,80
2025-11-01,77,68,83,75
2025-12-01,71,65,68,66
2026-01-01,77,75,75,68
2026-02-01,100,100,100,100
2026-03-01,67,61,64,53
